country,date,population,confirmed,confirmed_1d,deaths,deaths_1d,cases_perc,deaths_perc,mortality,lethality
Brazil,2021-01-01,215313504,7703971,0,195541,0,0.035780249993051995,0.0009081687695723906,0.0009081687695723906,0.025381845284723942
Brazil,2021-01-02,215313504,7719324,15353,195834,293,0.03585155532093333,0.0009095295759990976,0.0009095295759990976,0.025369319904178136
Brazil,2021-01-03,215313504,7736514,17190,196145,311,0.035931392394227164,0.0009109739814554316,0.0009109739814554316,0.025353150010456908
Brazil,2021-01-04,215313504,7761553,25039,196742,597,0.03604768328882892,0.0009137466826047288,0.0009137466826047288,0.02534827759341462
Brazil,2021-01-05,215313504,7819636,58083,197930,1188,0.03631744342426381,0.0009192642185601141,0.0009192642185601141,0.025311919889877226
Brazil,2021-01-06,215313504,7882143,62507,199161,1231,0.03660775034342481,0.0009249814633084973,0.0009249814633084973,0.025267367009200417
Brazil,2021-01-07,215313504,7970112,87969,200679,1518,0.03701631273438381,0.0009320316481403785,0.0009320316481403785,0.025178943533039434
Brazil,2021-01-08,215313504,8029698,59586,201760,1081,0.03729305338879256,0.0009370522343085364,0.0009370522343085364,0.025126723321350318
Brazil,2021-01-09,215313504,8081091,51393,202769,1009,0.03753174255154939,0.0009417384243581861,0.0009417384243581861,0.025091785255233482
Brazil,2021-01-10,215313504,8110118,29027,203259,490,0.03766655527560408,0.0009440141757202558,0.0009440141757202558,0.025062397365858302
Brazil,2021-01-11,215313504,8140865,30747,203750,491,0.037809356351378685,0.0009462945714728603,0.0009462945714728603,0.02502805291575281
Brazil,2021-01-12,215313504,8205289,64424,204875,1125,0.03810856656719497,0.000951519510824551,0.000951519510824551,0.02496865131746121
Brazil,2021-01-13,215313504,8265116,59827,206139,1264,0.038386426519722606,0.0009573900204605839,0.0009573900204605839,0.024940847775155244
Brazil,2021-01-14,215313504,8333445,68329,207293,1154,0.038703773080577424,0.0009627496471377847,0.0009627496471377847,0.024874826677322524
Brazil,2021-01-15,215313504,8402542,69097,208428,1135,0.039024686533362996,0.0009680210303948237,0.0009680210303948237,0.024805350571291403
