date,country,state,population,confirmed,confirmed_1d,confirmed_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,confirmed_trend,deaths,deaths_1d,deaths_moving_avg_7d,deaths_moving_avg_7d_rate_14d,deaths_trend,month,year,confirmed_1d_sum,deaths_1d_sum,case_percent,death_percent
2021-01-01,Brazil,Acre,881935,41689,,,,,796,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Alagoas,3337357,105091,,,,,2496,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Amapá,845731,68361,,,,,926,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Amazonas,4144597,201574,,,,,5295,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Bahia,14873064,494684,,,,,9159,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Ceará,9145994,336504,,,,,10004,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Distrito Federal,3015268,252077,,,,,4263,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Espírito Santo,4018827,249271,,,,,5093,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Goiás,7020148,309191,,,,,6805,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Maranhao,7075181,200959,,,,,4506,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Mato Grosso,3502983,180659,,,,,4530,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Mato Grosso do Sul,2791587,135361,,,,,2360,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Minas Gerais,21168791,546884,,,,,12001,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Pará,8603011,293807,,,,,7209,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Paraíba,4018127,167062,,,,,3680,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Paraná,11433957,418323,,,,,7993,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Pernambuco,9557071,222993,,,,,9666,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Piauí,3273936,143210,,,,,2848,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Rio Grande do Norte,3536039,119338,,,,,3009,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Rio Grande do Sul,11377239,451912,,,,,8917,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Rio de Janeiro,17264943,435390,,,,,25600,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Rondônia,1777225,95999,,,,,1822,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Roraima,607066,68858,,,,,787,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Santa Catarina,7164788,494447,,,,,5270,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,São Paulo,45919049,1466191,,,,,46775,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Sergipe,2298696,113544,,,,,2492,,,,,2021-01,2021,0,0,,
2021-01-01,Brazil,Tocantins,1573839,90592,,,,,1239,,,,,2021-01,2021,0,0,,
2021-01-02,Brazil,Acre,881935,41941,252,,,,798,2,,,,2021-01,2021,15353,293,0.016413730215593045,0.006825938566552901
2021-01-02,Brazil,Alagoas,3337357,105361,270,,,,2502,6,,,,2021-01,2021,15353,293,0.017586139516706834,0.020477815699658702
2021-01-02,Brazil,Amapá,845731,68441,80,,,,927,1,,,,2021-01,2021,15353,293,0.005210708004950173,0.0034129692832764505
2021-01-02,Brazil,Amazonas,4144597,201867,293,,,,5325,30,,,,2021-01,2021,15353,293,0.01908421806813001,0.10238907849829351
2021-01-02,Brazil,Bahia,14873064,495286,602,,,,9187,28,,,,2021-01,2021,15353,293,0.03921057773725005,0.09556313993174062
2021-01-02,Brazil,Ceará,9132078,336574,70,,,,10015,11,,,,2021-01,2021,15353,293,0.004559369504331401,0.03754266211604096
2021-01-02,Brazil,Distrito Federal,3015268,252874,797,,,,4268,5,,,,2021-01,2021,15353,293,0.05191167849931609,0.017064846416382253
2021-01-02,Brazil,Espírito Santo,4018923,250244,973,,,,5115,22,,,,2021-01,2021,15353,293,0.06337523611020647,0.07508532423208192
2021-01-02,Brazil,Goiás,7021214,309320,129,,,,6805,0,,,,2021-01,2021,15353,293,0.008402266657982153,0.0
2021-01-02,Brazil,Maranhao,7075181,200976,17,,,,4513,7,,,,2021-01,2021,15353,293,0.0011072754510519118,0.023890784982935155
2021-01-02,Brazil,Mato Grosso,3503114,180901,242,,,,4539,9,,,,2021-01,2021,15353,293,0.01576239171497427,0.030716723549488054
2021-01-02,Brazil,Mato Grosso do Sul,2790401,135917,556,,,,2372,12,,,,2021-01,2021,15353,293,0.0362144206344037,0.040955631399317405
2021-01-02,Brazil,Minas Gerais,21168791,549302,2418,,,,12023,22,,,,2021-01,2021,15353,293,0.15749364944961897,0.07508532423208192
2021-01-02,Brazil,Pará,8608809,294010,203,,,,7217,8,,,,2021-01,2021,15353,293,0.013222171562561063,0.027303754266211604
2021-01-02,Brazil,Paraíba,4018127,167615,553,,,,3692,12,,,,2021-01,2021,15353,293,0.03601901908421807,0.040955631399317405
2021-01-02,Brazil,Paraná,11433957,419615,1292,,,,8001,8,,,,2021-01,2021,15353,293,0.08415293427994529,0.027303754266211604
